haplogroup	example_accession_1	example_accession_2
N9a4b	AP008385	JF824989
N9a4b1	HG00531	NA18747
N9a5	AP008895	AP011045
N9a11	KF540744	KF540679
N9a6	HM596703	
N9a6a	AP012369	HM596644
N9a6b	AP012413	AP012410
N9a7	AP011016	AP008400
N9a8	AP008714	JN857027
N9a9	NA18563	FJ147307
N9a10	GU392084	
N9a10a1	NA18741	JN084084
N9a10a2	HM238208	
N9a10a2a	KF540600	KF540605
N9a10_T16311C	FJ748719	KF540722
N9a10b	KF849926	HG00406
N9b1	AP010722	
N9b1a	AP008610	AP008464
N9b1b	AP008784	AP008635
N9b1c	AP008821	AP008666
N9b1c1	AP008529	AP010834
N9b2	AP013239	
N9b2a	AP008790	AP008660
N9b3	AP008474	AP008901
N9b4	HM776709	AP008620
Y1	KF540727	EF153813
Y1a	EU007892	
Y1a1	KF148486	KF148513
Y1a_T16189C!	KF148339	EU007855
Y1a2	EF153825	KF148143
Y1b	GU123044	
Y1b1	AY255138	JF824832
Y1b1a	JF824992	AP008534
Y2	AP008723	EF153812
Y2a	KF540560	GQ119016
Y2a1	GQ119013	HM596675
Y2a1a	KC994134	KC994040
Y2b	AP008764	EF153798
N10a	HM030521	HM030542
N10b	HM030500	
N11a1	HM030536	HM030513
N11a2	HM030528	KF540803
N11b	GU733740	GU733776
N13	EF495214	JN226143
N14	DQ112753	
N21	GQ301885	
N21_T195C!	GQ301867	GQ301887
N21a	AP012425	GQ301877
N22	JF739542	GQ119034
N22a	AP012414	AY963578
A_T152C	AY255144	
A_T152C_T16362C	AP013225	
A1	AP010699	
A1a	EF153833	AP008617
A1a1	EF153799	EU597529
A2	DQ282395	HG01187
A2a	EU007844	EU482342
A2a1	EU095547	EU007884
A2a2	EU007847	EU482349
A2a3	EU007886	EU725611
A2a4	KC711001	KC711007
A2a5	EU095526	KC711017
A2b	EU095533	
A2b1	EU725607	EU007894
A2_C64T	EU095538	DQ282394
A2c	HQ012111	KC257400
A2d	HQ012117	HQ012050
A2d1	HQ012083	HQ012061
A2d1a	DQ282433	DQ282432
A2d2	DQ282422	DQ282388
A2e	EF657275	EF657536
A2ao	HQ012105	
A2ao1	HQ012100	JQ702177
A2f1	EF657254	
A2f1a	FJ705809	FJ775667
A2f2	HQ012110	HQ012126
A2f3	HQ012095	HQ012087
A2g	DQ282392	HQ012128
A2g1	DQ282391	HQ012076
A2h	EU095545	EU095202
A2h1	HQ012079	JQ705534
A2i	EU431080	GQ377757
A2j	JQ705434	HQ012127
A2j1	DQ282398	DQ282393
A2k	DQ282417	
A2k1	EU095552	
A2k1a	DQ282390	HG01097
A2_C64T_T16111C!	DQ282411	HQ012054
A2l	DQ282409	HQ012133
A2m	HQ012131	HQ012062
A2n	EU431082	FJ713602
A2o	HQ012114	DQ282419
A2ai	HQ012107	NA19770
A2aj	HQ012056	NA19777
A2p	HQ012065	HQ012116
A2p1	HQ012088	HQ012067
A2p2	KC257370	EF657488
A2am	DQ282403	HG01047
A2q	JQ705973	EU431081
A2q1	HQ012132	JQ705557
A2t	HQ012052	HQ012086
A2u1	HQ012073	HQ012057
A2u2	HQ012066	HQ012053
A2v	HG01342	
A2v1	AY195786	
A2v1_T152C!!!	HQ012109	JQ702093
A2v1a	HQ012085	HM589049
A2v1b	JQ705501	JQ702765
A2w	HG01375	HG01356
A2w1	JQ703875	JN100648
A2x	HQ012071	JN419250
A2y	GQ398480	GQ398487
A2aa	EU095196	EU095201
A2ab	JX887155	JQ702592
A2ac	EU095529	
A2ac1	JQ702324	HG01440
A2ad	EF079873	
A2ad1	JQ965968	JQ965967
A2ad2	JQ965970	JQ965969
A2ae	JQ704276	JQ705314
A2af1a	JQ965977	JQ965978
A2af1a1	JQ965972	JQ965975
A2af1a2	JQ965979	JQ965980
A2af1b	JQ965986	JQ965988
A2af1b1	JQ965983	
A2af1b1a	JQ965981	JQ965982
A2af1b1b	JQ965984	JQ965985
A2af1b2	HQ012106	HQ012104
A2af2	JQ965971	
A2ag	KC998702	KC998703
A2ah	KC503930	KC503929
A2ak	JQ701855	NA19663
A2al	HG01492	JQ701976
A2an	JQ705746	EU597486
A2_C64T_T16189C!	JQ435789	
A2ap	HQ012115	HM569227
A2aq	KC998705	KC998706
A2r	HQ012092	DQ282401
A2r1	HQ012063	JQ702393
A2s	HQ012070	
A2z	DQ282425	DQ282424
A6a	AY963575	AY255166
A6b	FJ748705	KF056300
A12	EF153771	
A12a	EF397560	AY519488
A23	EF153794	KC911275
A_T152C_T16362C_A200G	HM036549	EF153819
A13	EF114282	GU392075
A14	EF153775	NA18697
A15a	NA18773	JF824996
A15b	AP010832	JN580301
A15c	JF824895	
A15c1	KF056313	KF056304
A16	EF153780	HM852848
A17	NA18572	HM036566
A18	HG00634	NA18615
A19	GU377085	NA18621
A20	AP010675	NA18164
A21	KF056302	GQ895144
A22	JF824891	NA17967
A24	EF397559	NA18791
A25	AP008459	KF148411
A26	JX153385	JX152799
A3	AP013217	AP010833
A3a	AP013268	AP008741
A7	AP008307	AP010709
A11a	GU014565	GQ895149
A11_C16234T	GQ895164	
A11b	EU597494	FJ748714
A5a	AP008265	AP008743
A5a1a	AP009468	AP008914
A5a1a1	DQ272123	AP008433
A5a1a1a	AP010701	AP008290
A5a1a1b	AP008532	AP010976
A5a1a2	AP011037	AP011026
A5a1a2a	AP008538	AP008596
A5a1b	AP008853	AP008562
A5a2	AP011038	AP008340
A5a3	NA18997	
A5a3a	AP013109	AP008835
A5a4	AP013122	AP009452
A5a5	AP013288	EF153824
A5b	JF824862	
A5b1	GQ999962	NA18611
A5b1a	AP008364	AP010989
A5b1b	JF824875	HG00557
A5b1c	NA17987	
A5b1c1	KF540620	KF540659
A5c	EF153816	AP013209
A5c1	AP008874	AP013220
A8	EU482363	
A8a	AY519486	
A8a1	EF153797	JX266267
A10	HM569228	GU122995
O	AY289059	
O1	DQ404447	
O1a	AY289056	
S1	AF346963	
S1a	JN226144	DQ404440
S2	AY289051	AF346964
S3	AY289066	AY289067
S4	AY289062	
S5	EF495220	
X1a	EU600318	EU935456
X1c	HM765467	FJ460521
X3	EF177437	
X3a	JQ245804	EU600320
X2	GQ200588	JQ245739
X2_G225A	EU600328	
X2a1	EU439939	FJ168765
X2a1a	FJ168759	
X2a1a1	EU095249	EU095251
X2a1b	FJ168761	FJ168760
X2a1b1	FJ168762	
X2a1b1a	FJ168763	EU095242
X2a1c	EU095244	FJ168764
X2a2	KC257359	AY195787
X2j	EU935450	
X2b	FJ457949	FJ441666
X2b_T226C	JX021501	JQ704969
X2b1	EF556159	EF556175
X2b2	AF381986	
X2b3	DQ523642	DQ112870
X2b4	JQ701946	JQ343921
X2b4a	EU600321	GU945542
X2b4a1	JQ705458	JX153850
X2b5	EU597556	JQ705509
X2b6	JQ705179	
X2b6a	JX153405	JQ702893
X2b7	JQ704754	JQ705082
X2b8	JQ705154	HG00100
X2b9	JQ702096	AY339513
X2b10	JQ702482	
X2b10a	JX153019	JX153934
X2b11	JX153084	JN415482
X2b_T226C_C16192T	HG00108	JQ702995
X2b12	JQ704859	JQ705550
X2b13	JX153312	JX153907
X2d	JQ705795	
X2d1	JQ702739	
X2d1a	GQ231312	NA20536
X2d2	HM625691	JQ701817
X2c1	JX153623	KC257285
X2c1a	JQ702817	FJ348156
X2c1b	HM370114	KC257304
X2c1c	JQ705612	
X2c1c1	JQ703703	JX153379
X2c1d	JQ705480	EF657737
X2c1e	JQ702633	JX152973
X2c2	DQ523637	JQ705155
X2e1a	HM852814	
X2e1a1	EF556165	JQ705118
X2e1b	HM852758	
X2e2a	JQ245745	EU600324
X2e2a1	FJ147306	EF153772
X2e2a2	JQ245787	JQ245779
X2e2b	AB626609	JQ245775
X2e2b1	JX153926	JQ245752
X2e2c1	KC911480	KC911468
X2g	FJ168756	
X2l	JQ704985	KC911385
X2_G225A_T16223C	KC911497	
X2h	EU600325	EU600326
X2i	JQ245730	HQ529295
X2i_A225G!	JQ245806	
X2i1	JQ705067	JX153273
X2m1	FJ008043	JX153046
X2m2	JQ705389	JQ705217
X2n	EF660942	JQ705988
X2o	JQ245731	
X2o1	JQ245770	JX153015
X2f	KC911478	EU600323
X2f1	JQ245738	HM852756
X2k	JQ704866	JQ701905
X2p	KC257312	
X2p1	JX508853	JX508852
X4	HQ456226	JQ245765
R0a	JX153281	
R0a1	JQ702678	
R0a1a	HM185216	FJ460524
R0a1a1	HM185217	HM185263
R0a1a1a	HM185210	HM185208
R0a1a2	HM185258	HM185260
R0a1a3	HM185213	GU592021
R0a1a4	HM185245	HM185233
R0a1_T152C!	HM185256	
R0a1b	DQ904236	HM185240
R0a_60.1T	EU597493	
R0a2	HM185266	AY713999
R0a2a	EF556170	HM185270
R0a2a1	HM185257	JQ702181
R0a2b	HM185261	EF556172
R0a2c	HM185215	EF556176
R0a2d	JF717359	HM185241
R0a2e	DQ904242	
R0a2f	HM185225	
R0a2f1a	HM185227	HM185221
R0a2f1b	HM185228	HM185248
R0a2g	HM185271	HM185218
R0a2h	HM185238	DQ904240
R0a2i	HM185242	DQ904241
R0a2_T195C!	HM185237	
R0a2j	HM185246	HM185229
R0a2k	JF717355	
R0a2k1	HM185254	HM185253
R0a2l	HM185250	HM185244
R0a2m	JQ705916	JQ705196
R0a2n	KC911373	JF717356
R0a3	HM185223	KC911556
R0a3a	HM185265	HM185224
R0a4	JQ702940	JQ705305
R0b	JF717361	
HV	KC911472	
HV0	JQ705599	JX153274
HV0a	JQ704188	AY738945
HV0a1	GU122990	JX153134
HV0a1a	EF649971	JQ701930
V	AY495311	JX153964
V1a	JQ702026	EF177435
V1a1	AY495325	JQ702498
V1a1a	AY339438	JX153841
V1a1a1	JX153552	GU123003
V1a1b	EF661005	EF177419
V1b	JQ702938	JQ704342
V2	JQ705658	JQ703647
V2a	AY713979	
V2a1	AY495322	
V2a1a	AY495317	AY495323
V2b	AY495313	
V2b1	AY495319	AY495310
V2b2	JQ704063	JX153314
V2c	JQ705254	JX153985
V3	JQ703666	
V3a	JQ705789	JX297186
V3a1	JQ702667	KC257399
V3b	JQ704036	AY495330
V3c	EU567326	JQ705638
V4	AY495312	FJ384440
V5	AY339451	AY339452
V6	FJ348207	EF506486
V7	JQ705798	JQ702803
V7a	JQ703830	EU567454
V7a1	AY339446	JQ702569
V7b	JQ705945	JQ704660
V8	JQ702025	JQ705604
V9	EF177445	
V9a1	FJ865560	DQ658411
V9a2	JQ702145	JQ704826
V10a	JQ704602	HQ729918
V10b	KF142158	
V10b1	JQ703770	GQ304748
V10b2	HM570048	JX153465
V11	JQ704405	JQ705396
V12	AY495321	JQ705506
V13	GU122979	JQ702456
V14	JQ702206	JQ703215
V15	HQ645963	
V15a	JQ703991	JQ702391
V16	JQ704468	KC257385
V17	JQ703973	GU362082
V18	FJ348173	
V18a	JX153154	EF657725
V19	JQ702721	JQ703749
V22	JX297133	JX297137
V_C16298T!	AY495118	AY495109
V20	JQ705168	JQ704703
V_C72T!	JQ701938	JQ705610
V21	JQ702689	JQ704945
V23	JQ704988	NA11893
V24	HQ711364	JQ704340
V25	NA19725	AF381990
V26	JF502419	HQ615879
V27	JX153521	JQ705885
V28	JX153920	GU827698
HV0_T195C!	JQ703113	JQ704255
HV0b	EF556192	NA11932
HV0c	JQ704143	EF471977
HV0d	JN794568	JQ702222
HV0e	JQ705967	JX153089
HV0f	JQ705127	EF660968
HV0g	JQ704142	JX297182
HV1	JF320654	
HV1a'b'c	AY738943	EF660936
HV1a1	HM852761	
HV1a1a	HM575427	JF260938
HV1a1b	FJ210914	
HV1a2	KC257350	JF260943
HV1a2a	JF260942	EU935461
HV1a2b	JF316743	JX153051
HV1a3	JF260935	JF260937
HV1a3a	KC911597	JF260936
HV1b	AY738942	
HV1b1	EF556182	
HV1b1a	JF260951	JF260949
HV1b1b	JF260948	JF260947
HV1b_T152C!	JF260944	
HV1b2	DQ856316	EF396958
HV1b3a	HM998901	HQ412622
HV1b3b	KC911450	JQ704284
HV1c	EF556190	JQ705526
HV1d	JF260933	JF260932
HV2	KC911408	
HV2a1	EU567456	HM852806
HV2a2	AY713986	KC911452
HV2a3	KC911372	HM852860
HV20	HM036578	EU935433
HV4	EF417833	EU545447
HV4a1	JN214428	EF660939
HV4a1_C16291T	JN214427	
HV4a1a	JN214395	JX297154
HV4a1a1	JN214392	JN214391
HV4a1a2	JN214397	JN214400
HV4a1a3	HQ675034	GQ888730
HV4a1a4	JN214410	JN214418
HV4a2a	GQ888731	HM228422
HV4a2b	EU935457	JN214429
HV4b	EF222234	HM852851
HV4c	JQ272477	AY738941
HV5a	EF419890	EU558385
HV5b	KC911476	HQ593806
HV_T16311C!	KC765916	AY713981
HV6	HQ658738	EF222232
HV6a	EU545454	EU545439
HV7	EU545443	JQ701908
HV8	EU545457	EF222246
HV9	JQ703367	JX153443
HV9_T152C!	EF222253	JQ703720
HV9a	EU545422	JQ705368
HV9a1	KC257361	JQ704229
HV9a1a	EF222247	JQ703659
HV9b	FJ147309	JQ704799
HV9c	KC911421	NA20814
HV10	EF222245	HM008695
HV11	JQ702048	
HV11a	GU592045	EF660954
HV14	KC911391	
HV14a	KC911456	NA18743
HV15	JQ704184	NA12489
HV16	HQ658354	JQ704124
HV17	EU545424	
HV17a	JQ702596	JQ705416
HV22	EF660945	EF660975
HV23	KC911525	FJ460528
HV24	KC257368	NA20506
HV12a	HM852849	
HV12a1	HQ844516	JN053060
HV12b	AY713976	
HV12b1	HM852785	
HV12b1a	AY713987	KC533522
HV13a	HM852828	KC911298
HV13b	JX153457	JF700125
HV18	JX153087	KC911471
HV19	HQ436102	KC911439
HV21	KF729951	HQ287727
H	JQ705953	
H1	HQ384174	HM103358
H1a	EU369376	JX153520
H1a1	AY495188	JQ702187
H1a1a	JQ704413	JQ703901
H1a1a1	JQ704265	AY495189
H1a1b	JQ703424	AY495190
H1a1c	JX153501	JX153539
H1a2	AY339422	EU130562
H1a3	EU747355	JQ704204
H1a3a	JQ704050	HQ287892
H1a3a1	JQ704612	JQ705169
H1a3a2	JQ704838	HM589042
H1a3a3	AY738972	NA20768
H1a3a4	JQ324542	EF177447
H1a3b	HQ659848	JQ703135
H1a3b1	JQ705533	JQ703683
H1a3c	JQ702698	EU979418
H1a3c1	JX153342	JX153942
H1a3d	JX152881	JQ704536
H1a4	JQ704223	HQ287891
H1a5	JQ702535	JQ704525
H1a6	JQ702474	JX153364
H1a7	GU797829	
H1a8	JQ701944	JX153239
H1a8a	JQ703758	JX153203
H1a9	KF052033	KC121273
H_T16189C!	JQ406575	
H1b	JN603189	JQ702703
H1b1	KC257358	JQ704003
H1b1_T16362C	EU219920	GU724771
H1b1a	GU122983	AY738975
H1b1b	JQ701966	JQ703941
H1b1c	JQ704159	JQ702527
H1b1d	JQ705126	
H1b1h	JQ703500	JQ702455
H1b1e	JQ703838	JQ704913
H1b1e1	JX152804	JQ702763
H1b1f	JQ703254	GU797136
H1b1g	JQ703357	
H1b1i	JX153222	JX153213
H1b2	JQ702529	JQ706010
H1b2a	JQ702566	
H1b2a1	JQ704894	JQ703268
H1b3	JQ704139	JX153876
H1b4	JQ324829	JQ324933
H1b5	JX152798	JQ704486
H1f	JQ704298	
H1f_T16093C	JQ703322	
H1f1	AY339413	KC785095
H1f1a	JQ705607	JQ704916
H1g1	JQ701945	GU461664
H1g2	JQ703948	
H1k1	EU768844	
H1k1a	EU770202	EU779660
H1y	JQ704157	JQ703220
H1z	JQ703527	
H1z1	JQ704562	
H1aa1	JQ702057	JX153082
H1ab	JQ704715	
H1ab1	AY738982	JQ324765
H1ac	JQ704994	
H1ad	JQ704571	JQ703473
H1cc	JQ705678	HQ658466
H1c	JQ705712	JQ702532
H1c1	AY495157	JQ703418
H1c1a	AY495160	AY495163
H1c1a1	NA12399	JQ702436
H1c1b	JQ702237	JQ702099
H1c1c	JX153294	JX153899
H1c1_T16093C	JQ703153	JX153157
H1c1d	JX153421	JX152893
H1c2	HQ681884	JQ703166
H1c2a	JQ704438	AY495096
H1c3	JQ703496	JQ702738
H1c3a	JQ704119	JQ703142
H1c3b	GU289555	GQ332765
H1c4	JQ705516	
H1c4a	JX152947	
H1c4a1	JX297157	JQ324836
H1c4b	JQ704378	JQ703499
H1c4b1	JQ701984	GU122996
H1c5	AY495102	
H1c5a	JQ703745	JQ702006
H1c6	JQ704080	GU812902
H1c7	JQ702850	JQ702873
H1c8	JQ704294	JQ702867
H1c_T152C!	JQ701993	AY495141
H1c9	JQ703810	
H1c9a	JQ703637	JQ703459
H1c10	JQ705468	
H1c11	JQ705495	JQ704352
H1c12	HM462218	JQ704242
H1c13	JQ702501	AY495139
H1c14	JQ703342	
H1c15	JQ703551	JQ704909
H1c16	HQ658607	JQ324739
H1c17	HQ875780	JQ705238
H1c18	JQ705757	JX153132
H1c19	JQ703126	JQ703998
H1c20	JQ703383	JQ702607
H1c22	JX153194	FJ348214
H1e	JQ702328	DQ523657
H1e1	JQ705024	
H1e1a	EF177428	JQ703438
H1e1a1	JQ324873	JQ324659
H1e1a2	JQ705496	
H1e1a3	HQ658480	EU914954
H1e1a4	JQ324756	JQ324691
H1e1a5	JQ705884	FJ348185
H1e1a6	JX297199	JQ703576
H1e1a7	JX153958	JQ324885
H1e1a_C16278T!	JQ704464	
H1e1a8	JX153401	JQ705331
H1e1b	JQ702833	
H1e1b1	JQ705799	JQ705809
H1e1b1a	JQ702649	NA20513
H1e1b1b	JQ704656	JQ702104
H1e1c	JX152857	JQ703603
H1e2	HQ880578	JQ705717
H1e2a	JQ704343	JQ704128
H1e2b	JQ702992	JQ703207
H1e2c	JQ703115	AY738971
H1e2d	JQ702491	NA20803
H1e_G16129A!	EU555475	
H1e3	HQ663877	JQ324720
H1e4	JQ703196	JQ704392
H1e4a	EU148452	EU262984
H1e5a	EF660933	JQ704250
H1e5b	JX153041	JX153088
H1e6	JQ705426	
H1e7	JQ702313	AY495134
H1e8	EF556181	
H1e8a	JX153138	JX153381
H1h1	HQ659703	JQ703535
H1h2	JQ704717	
H1_T152C!	JQ703305	
H1i	JQ703270	
H1i1	FJ940865	EU568371
H1i2	JQ703251	JQ701978
H1i2a	JQ705039	JQ702223
H1an1	JQ703403	
H1an1a	JQ324893	JQ324894
H1an2	JQ702335	
H1bb	AY495144	JQ703170
H1j	JQ705294	JQ701806
H1j1	JQ324705	JQ324525
H1j1a	JX297163	JQ324736
H1j1a1	JQ324599	JQ324650
H1j1a2	JQ324870	JQ324539
H1j1b	JQ324604	JQ324901
H1j1c	JQ324760	JQ324864
H1j2	JQ703536	
H1j2a	JQ324660	
H1j3	JQ704358	EF491001
H1j4	JQ704398	JQ704199
H1j5	AY495119	JQ704090
H1j6	JQ703147	
H1j7	JQ703631	
H1j8	EF177436	JQ705914
H1j9	EU372630	DQ489525
H1m	JQ705493	JQ065050
H1m1	JQ703995	JQ704459
H1n_T146C!	FJ348196	JQ701825
H1n1	JQ704655	JX152925
H1n1a	JQ704566	JQ703319
H1n1b	JQ705930	JQ702009
H1n2	FJ348199	JQ702161
H1n3	HQ658482	
H1n4	JQ703765	JQ702043
H1n_T146C!_T195C!	HQ839859	
H1n5	JQ703312	
H1n6	JX152889	JQ704613
H1o	JQ702360	JQ324594
H1ck	JX153389	JX153869
H1p	EF556184	NA07345
H1q	JQ704630	JQ703742
H1q1	JQ704373	JX153851
H1q1a	JQ324843	HQ662225
H1q2	JX152803	JQ324580
H1q3	NA20811	JX153975
H1r	AF346981	JQ705944
H1r1	JX297164	GQ888727
H1s	GQ478575	EU080974
H1s1	JX153137	
H1t	JX154028	JQ704194
H1t1	JQ324837	
H1t1a	JQ324688	GQ888724
H1t1a1	JX297158	JQ324838
H1t2	GQ888725	EF177427
H1u	JQ702726	JQ705383
H1u1	AY495103	JQ702971
H1u2	JN604117	JX153139
H1v	FJ460532	JQ703465
H1v1a	HM171271	
H1v1b	HM171273	
H1w	HM171275	HM171277
H1x	HM171279	HM171278
H1ae	JQ705436	
H1ae1	JQ702071	JQ704433
H1ae2	JQ704032	JQ705102
H1ae2a	JQ702370	HQ400746
H1ae3a	JQ703756	JQ704509
H1af	JQ704303	JQ705435
H1af1a	GQ888707	JQ703089
H1af1b	JQ704957	JX153763
H1af2	FJ656214	
H1ag	KC257371	
H1ag1	JQ703316	JQ704657
H1ag1a	JQ703938	GQ175058
H1ag1b	JQ704170	JQ702557
H1ah	NA19655	
H1ah1	JQ324708	JQ702002
H1ah2	JQ703687	JQ704293
H1ai1	JQ701969	EU675941
H1aj	JQ703262	NA20525
H1aj1a	JQ703788	JQ702591
H1ak	JQ702623	AY738979
H1ak1	JQ324892	KC533493
H1ak2	JQ324884	JQ324782
H1am	JQ703706	
H1am1	HM488738	JX152833
H1ao	JQ704226	JQ704336
H1ao1	JQ704235	GQ334714
H1cg	JX153703	HM625689
H1ap1	JQ704669	KC257395
H1aq	EU597511	JQ324562
H1aq1	JQ703371	JQ702907
H1ar	JQ324931	
H1ar1	JQ704291	JQ704671
H1as	JQ702701	
H1as1	JQ703561	
H1as1a	JQ704158	EF177421
H1as2	JQ704370	JQ702495
H1at	JQ324928	
H1at1	JQ703224	
H1at1a	JQ704066	FJ858266
H1au	GU981676	
H1au1a	JQ703256	JQ703506
H1au1b	GU207871	JQ704010
H1av	JQ705362	JQ704538
H1av1	JQ324719	JQ324841
H1av1a	JQ324552	JQ324605
H1aw	JQ704411	AY495153
H1aw1	JQ324713	JX153392
H1ax	JQ704285	HM625711
H1ax1	KF562342	JQ704177
H1ay	JQ703923	JQ704587
H1az	JQ702269	JQ704564
H1ba	JQ702799	JQ703888
H1ba1	HM765465	EF660923
H1bc	JQ704162	JQ702634
H1bd	JQ704553	
H1be	JQ703681	JQ704424
H1_C16239T	JQ704230	JQ705157
H1bf	JQ704186	
H1bf1	JX297162	HM103354
H1bg	JQ703148	JQ704588
H1bh	JX153634	JQ703668
H1ch	JX153093	JQ704465
H1bi	JQ704212	JQ704435
H1bj	JQ704756	
H1bk	JQ703132	JQ705754
H1bm	JQ705579	JQ704794
H1bn	JQ703317	JQ705138
H1bo	EF556177	JQ702570
H1bp	AY738977	JX153073
H1bq	JQ703346	JQ324662
H1br	JQ704089	JQ704606
H1bs	JQ324633	JQ703571
H1bt1	JQ703244	JQ704419
H1bu	JQ703635	
H1bv	KC175606	
H1bv1	JQ324778	JQ324723
H1bw	JQ704366	JQ702483
H1bx	JQ324627	JQ324844
H1bz	JQ898578	
H1ca	EU600345	KC911277
H1_T16311C!	JQ705028	
H1cd	JQ324670	HG01521
H1cf	KC257391	JQ703388
H1ci	JX153783	
H1cj	HQ703482	JX153943
H2a	EU597492	GU592029
H2a1	FJ238053	JQ324929
H2a1a	FJ668389	HQ667351
H2a1a1	JQ703397	JQ704198
H2a1a2	JQ701848	JQ703509
H2a1b1	JQ703204	JQ703362
H2a1b2	JQ703223	JX152855
H2a1c	JQ703582	EU597521
H2a1d	FJ161702	FJ800808
H2a1e	JQ703145	JQ324896
H2a1e1	JQ704189	
H2a1e1a	FJ842614	JQ703366
H2a1e1a1	JQ703214	HQ698266
H2a1e1b	JQ704847	
H2a1f	HQ336422	
H2a1f1	JQ705806	JX153159
H2a1f2	KF723706	JX153614
H2a1g	JQ705411	
H2a1i	JQ703760	KC911386
H2a1j	JQ701819	JQ705223
H2a1k	JQ705370	JQ704025
H2a1m	JX153259	JX153250
H2a1_T146C!	JQ704434	
H2a1n	JX153119	EU780223
H2a2	JQ704533	JQ703191
H2a2a	GU122997	JQ701904
H2a2a1	rCRS	
H2a2a1a	EU795361	EU157923
H2a2a1b	JQ702287	JQ704346
H2a2a1d	JQ704842	JQ705139
H2a2a1e	HQ670226	NA07346
H2a2a1f	JQ704520	HG00127
H2a2a1g	JQ705265	JQ704224
H2a2a1h	JQ704532	JX153491
H2a2a2	JQ704269	EU716647
H2a2_A16235G	JQ703290	JQ704337
H2a2b	HQ914650	EU719115
H2a2b1	JQ705563	JQ705365
H2a2b1a	KC257390	JQ702368
H2a2b1a1	EF418606	JQ704361
H2a2b2	JQ704140	EU444119
H2a2b3	JQ702309	JX153667
H2a2b4	JQ705734	JQ702900
H2a2b5	HQ675041	
H2a2b5a	JQ704565	HG00123
H2a3	AM263180	
H2a3a	JX153748	
H2a3a1	JQ704220	JX153268
H2a3b	HQ659870	JQ703192
H2a4	AM263179	AM263181
H2a5	KC533501	JQ704563
H2a5a1	JQ324555	JQ324582
H2a5a1a	FJ527772	FJ527777
H2a5a1b	JF284817	AY738963
H2a5b	JQ701826	JQ703081
H2a5b1	JQ704687	JQ702205
H2a5b2	HQ153430	
H2b	EU597574	HQ659667
H2c	JQ704503	JQ701885
H2c1	JQ704496	JQ704499
H3	AY738987	HQ659688
H3_T152C!	JQ702087	JQ703549
H3a	JQ704834	
H3a1	JQ704253	AY738986
H3a1a	JQ705329	JQ704348
H3g	AY495132	AY495142
H3g1	JQ705181	JQ704782
H3g1a	JQ705694	
H3g1b	HG00245	JQ702329
H3g2	JQ704542	JQ704455
H3g3	KC257374	JQ705080
H3g4	JQ702762	JQ704722
H3i	JQ703118	JN202491
H3i1	GQ165466	AY495131
H3j	HQ696491	JQ703265
H3k	JQ704704	JQ324804
H3k1a	AY495130	JQ705110
H3b	KC554003	JX025434
H3b_G16129A!	AY495148	JQ703467
H3b1a	KC533482	JQ704748
H3b1b	JQ704932	JQ704456
H3b1b1	JQ703382	HQ661845
H3b1b1a	JQ704105	
H3b2	AY495155	JQ702921
H3b3	JQ703291	
H3b4	JQ704197	
H3b4a	JQ705727	HG00237
H3b5	HQ384186	AY738988
H3b6	JQ705735	
H3b6a	JX153543	JX153241
H3b7	JX153702	JX153896
H3c	JQ324618	JQ703744
H3c1	AY738990	JQ703410
H3c2	JQ705425	
H3c2a	JQ324828	JQ324785
H3c2a1	JQ324731	JQ324776
H3c2b	JQ704172	
H3c2b1	JQ705340	
H3c2c	JX297139	JQ324704
H3c3	JQ702603	
H3d	AY495180	AY738983
H3e	JQ324858	FJ348206
H3_T16311C!	JQ702652	
H3h	KF179063	JQ702416
H3h1	JQ086344	JQ703677
H3h2	JQ702530	
H3h2a	KC911606	EF661010
H3h3	KF424557	
H3h3a	JQ704436	JQ704979
H3h3b	JX153423	HM003111
H3h4	JQ704484	FJ349555
H3h5	JQ705041	
H3h6	JQ324559	JQ701864
H3h7	JN129423	JQ702635
H3m	JQ702092	JQ704363
H3n	JQ704633	JQ703381
H3p	JQ704490	JQ704133
H3q	JQ704318	JQ703230
H3q1	JX153879	GU592027
H3r	JN112339	JQ704887
H3r1	JQ705853	EF660938
H3s	JQ704120	JQ324916
H3t	KC911500	JQ702220
H3u	DQ523647	
H3u1	AB626610	JQ705759
H3v	JQ704903	
H3v1	JQ703289	JQ703185
H3v_T16093C	GU997629	JQ703387
H3v2	JQ704545	
H3w	JQ703544	FJ460550
H3x	JQ324817	JQ324537
H3x1	DQ523662	DQ523643
H3y	JQ703094	JQ705116
H3z	JQ705915	JQ702909
H3z1	JQ703690	JQ324932
H3z2	JQ704178	JX153639
H3aa	JQ704638	JQ705422
H3ab	JQ324666	JN409387
H3ac	HQ658608	JQ702127
H3ad	JQ703272	JQ702774
H3ae	JQ705905	JQ703598
H3af	AY495156	JQ324794
H3ag	KC866615	HG00252
H3ag1	JQ705124	NA12283
H3ah	JN107813	JQ324638
H3ai	JQ705437	JQ324769
H3aj	JQ701983	JQ704135
H3ak	AY195746	JQ704482
H3am	JQ324634	JQ324847
H3an	JQ703304	
H3ao	JQ324567	JQ704232
H3ao1	JQ704183	JQ705341
H3ap	JQ703140	JQ702411
H3aq	JN674560	JQ704383
H3ar	JQ702687	
H3as	JQ704192	JQ702769
H3at	JQ324640	
H3at1	JQ324851	JQ324906
H3au	JQ704477	JQ324572
H3_T16189C!	JQ324574	
